,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 7 PRO 4750GE,8,16,8,3.1,4.3,0,512,4,8,,3,35,95,3200,2,,2100,
on,AMD Ryzen™ 5 PRO 3600,6,12,0,3.6,4.2,0,384,3,32,,4,65,95,3200,2,,,
on,AMD Ryzen™ 5 PRO 4650G,6,12,7,3.7,4.2,0,384,3,8,,3,65,95,3200,2,,1900,
on,AMD Ryzen™ 3 PRO 4355G,4,8,6,3.8,4,0,256,2,4,,3,65,95,3200,2,,1700,
on,AMD Ryzen™ 5 PRO 4650GE,6,12,7,3.3,4.2,0,384,3,8,,3,35,95,3200,2,,1900,
on,AMD Ryzen™ 3 PRO 4355GE,4,8,6,3.5,4,0,256,2,4,,3,35,95,3200,2,,1700,
on,AMD Ryzen™ 3 PRO 4350G,4,8,6,3.8,4,0,256,2,4,,3,65,95,3200,2,,1700,
on,AMD Ryzen™ 3 PRO 4350GE,4,8,6,3.5,4,0,256,2,4,,3,35,95,3200,2,,1700,
on,AMD Ryzen™ 5 1600,6,12,0,3.2,3.6,0,576,3,16,,3,65,95,2667,2,,,
on,AMD Ryzen™ 5 1600 (AF),6,12,0,3.2,3.6,0,576,3,16,,3,65,95,2667,2,,,
on,AMD Ryzen™ 5 PRO 3400G,4,8,11,3.7,4.2,0,384,2,4,,3,65,95,2933,2,,1400,
on,AMD Ryzen™ 5 PRO 3400GE,4,8,11,3.3,4,0,384,2,4,,3,35,95,2933,2,,1300,
on,AMD Ryzen™ 5 1500X,4,8,0,3.5,3.7,0,384,2,16,,3,65,95,2667,2,,,
on,AMD Ryzen™ 5 PRO 3350G,4,8,10,3.6,4,0,384,2,4,,3,65,95,2933,2,,1300,
on,AMD Ryzen™ 5 PRO 3350GE,4,4,10,3.3,3.9,0,384,2,4,,3,35,95,2933,2,,1200,
on,AMD Ryzen™ 3 PRO 3200G,4,4,8,3.6,4,0,384,2,4,,3,65,95,2933,2,,1250,
on,AMD Ryzen™ 5 1400,4,8,0,3.2,3.4,0,384,2,8,,3,65,95,2667,2,,,
on,AMD Ryzen™ 3 PRO 3200GE,4,4,8,3.3,3.8,0,384,2,4,,3,35,95,2933,2,,1200,
on,AMD Ryzen™ 3 1300X,4,4,0,3.5,3.7,0,384,2,8,,3,65,95,2667,2,,,
on,AMD Athlon™ Gold PRO 3150G,4,4,3,3.5,3.9,0,384,2,4,,3,65,95,2933,2,,1100,
on,AMD Athlon™ Gold PRO 3150GE,4,4,3,3.3,3.8,0,384,2,4,,3,35,95,2933,2,,1100,
on,AMD Athlon™ Silver PRO 3125GE,2,4,3,3.4,3.4,0,192,1,4,,3,35,95,2667,2,,1100,
on,AMD Athlon™ PRO 300GE,2,4,3,3.4,0,0,192,1,4,,3,35,95,2667,2,,1100,
on,AMD Ryzen™ 3 1200,4,4,0,3.1,3.4,0,384,2,8,,3,65,95,2667,2,,,
on,AMD Ryzen™ 7 PRO 2700X,8,16,0,3.6,4.1,0,768,4,16,,3,95,95,2933,2,,,
on,AMD Ryzen™ 7 PRO 4750U,8,16,7,1.7,4.1,0,0,4,8,,3,15,105,,,,1600,
on,AMD Ryzen™ 7 PRO 2700,8,16,0,3.2,4.1,0,768,4,16,,3,65,95,2933,2,,,
on,AMD Ryzen™ 5 PRO 4650U,6,12,6,2.1,4,0,0,3,8,,3,15,105,,,,1500,
on,AMD Ryzen™ 3 PRO 4450U,4,8,5,2.5,3.7,0,0,2,4,,3,15,105,,,,1400,
on,AMD Ryzen™ 7 PRO 1700X Processor,8,16,0,3.4,3.8,0,0,4,16,,3,95,95,2667,2,,,
on,AMD Ryzen™ 7 PRO 3700U,4,8,10,2.3,4,0,384,2,4,,3,15,95,2400,2,,1400,
on,AMD Ryzen™ 5 PRO 3500U,4,8,8,2.1,3.7,0,384,2,4,,3,15,95,2400,2,,1200,
on,AMD Ryzen™ 7 PRO 1700,8,16,0,3,3.7,0,768,4,16,,3,65,95,2667,2,,,
on,AMD Ryzen™ 5 PRO 2600,6,12,0,3.4,3.9,0,576,3,16,,3,65,95,2933,2,,,
on,AMD Athlon™ PRO 3145B,2,4,3,2.4,3.3,0,196608,1,4,,3,15,100,2400,2,,1000,
on,AMD Ryzen™ 5 PRO 1600,6,12,0,3.2,3.6,0,576,3,16,,3,65,95,2667,2,,,
on,AMD Athlon™ PRO 3045B,2,2,2,2.3,3.2,0,192,1,4,,3,15,100,2400,2,,1100,
on,AMD Ryzen™ 3 PRO 3300U,4,4,6,2.1,3.5,0,384,2,4,,3,15,95,2400,2,,1200,
on,AMD Athlon™ PRO 300U Mobile Processor with Radeon™ Vega 3 Graphics,2,4,3,2.4,3.3,0,384,1,4,,3,15,95,2400,2,,1000,
on,AMD Ryzen™ 5 PRO 1500,4,8,0,3.5,3.7,0,384,2,16,,3,65,95,2667,2,,,
on,AMD Ryzen™ 7 PRO 2700U,4,8,10,2.2,3.8,0,384,2,4,,3,15,95,2400,2,,1300,
on,AMD Ryzen™ 5 PRO 2400G with Radeon™ Vega 11 Graphics,4,8,11,3.6,3.9,0,384,2,4,,3,65,95,2933,2,,1250,
on,AMD Ryzen™ 5 PRO 2400GE with Radeon™ Vega 11 Graphics,4,8,11,3.2,3.8,0,384,2,4,, 3.0 x8,35,95,2933,2,,1250,
on,AMD Ryzen™ 3 PRO 1300,4,4,0,3.5,3.7,0,384,2,8,,3,65,95,2667,2,,,
on,AMD Ryzen™ 5 PRO 2500U,4,8,8,2,3.6,0,384,2,4,,3,15,95,2400,2,,1100,
on,AMD Ryzen™ 3 PRO 2200G with Radeon™ Vega 8 Graphics,4,4,8,3.5,3.7,0,384,2,4,,3,65,95,2933,2,,1100,
on,AMD Ryzen™ 3 PRO 2200GE with Radeon™ Vega 8 Graphics,4,4,8,3.2,3.6,0,384,2,4,, 3.0 x8,35,95,2933,2,,1100,
on,AMD Ryzen™ 3 PRO 1200,4,4,0,3.1,3.4,0,384,2,8,,3,65,95,2667,2,,,
on,AMD Ryzen™ 3 PRO 2300U,4,4,6,2,3.4,0,384,2,4,,3,15,95,2400,2,,1100,
on,7th Gen AMD PRO A4-5350B APU,2,0,3,3,3.6,0,0,1,0,,3,15,90,2133,1,,,847
on,7th Gen AMD PRO A4-4350B APU,2,0,3,2.5,2.9,0,0,1,0,,3,15,90,2133,1,,,655
on,7th Gen AMD PRO A6-8350B APU,2,0,3,3.1,3.7,0,0,1,0,,3,15,90,2133,1,,,900
on,7th Gen AMD PRO A6-7350B APU,2,0,3,3,3.6,0,0,1,0,,3,15,90,2133,1,,,847
on,7th Gen A12-9800 APU,4,0,8,3.8,4.2,0,0,2,0,, 3.0 x8,65,90,2400,2,,1108,
on,7th Gen A12-9800E APU,4,0,8,3.1,3.8,0,0,2,0,, 3.0 x8,35,90,2400,2,,900,
on,7th Gen A10-9700 APU,4,0,6,3.5,3.8,0,0,2,0,, 3.0 x8,65,90,2400,2,,1029,
on,7th Gen A10-9700E APU,4,0,6,3,3.5,0,0,2,0,, 3.0 x8,35,90,2400,3,,847,
on,7th Gen A8-9600 APU,4,0,6,3.1,3.4,0,0,2,0,, 3.0 x8,65,90,2400,2,,900,
on,7th Gen A6-9550 APU,2,0,6,3.8,4,0,0,1,0,, 3.0 x8,65,90,2400,2,,1029,
on,7th Gen A6-9500 APU,2,0,6,3.5,3.8,0,0,1,0,, 3.0 x8,65,90,2400,2,,1029,
on,7th Gen A6-9500E APU,2,0,4,3,3.4,0,0,1,0,, 3.0 x8,35,90,2400,2,,800,
on,7th Gen A12-9730P APU,4,0,6,2.8,3.5,0,0,2,0,,,35,90,2400,2,,900,
on,7th Gen A12-9700P APU,4,0,6,2.5,3.4,0,0,2,0,,,15,90,1866,2,,758,
on,7th Gen A10-9630P APU,4,0,6,2.6,3.3,0,0,2,0,,,35,90,2400,2,,800,
on,7th Gen A10-9600P APU,4,0,6,2.4,3.3,0,0,2,0,,,15,90,1866,2,,720,
on,7th Gen A9-9425 APU,2,0,3,3.1,3.7,0,0,1,0,,3,15,90,2133,1,,900,
on,7th Gen A9-9420 APU,2,0,3,3,3.6,0,0,1,0,,3,15,90,2133,,,847,
on,7th Gen A9-9410 APU,2,0,3,2.9,3.5,0,0,1,0,,,25,90,2133,1,,800,
on,7th Gen A6-9225 APU,2,0,3,2.6,3.1,0,0,1,0,,3,15,90,2133,1,,686,
on,7th Gen A6-9220 APU,2,0,3,2.5,2.9,0,0,1,0,,3,15,90,2133,,,655,
on,AMD EPYC™ 9654P,96,192,0,2.4,3.7,3.55,0,0,384,10625, 5.0 x128,360,,4800,12,460.80 GB/s,,
on,7th Gen A6-9220C APU,2,2,3,1.8,2.7,0,160,1,0,,,6,90,1866,1,,720,
on,AMD EPYC™ 9654,96,192,0,2.4,3.7,3.55,0,0,384,11805, 5.0 x128,360,,4800,12,460.80 GB/s,,
on,7th Gen A6-9210 APU,2,0,3,2.4,2.8,0,0,1,0,,,15,90,2133,1,,600,
on,AMD EPYC™ 9634,84,168,0,2.25,3.7,3.1,0,0,384,10304, 5.0 x128,290,,4800,12,460.80 GB/s,,
on,7th Gen A4-9125 APU,2,0,2,2.3,2.6,0,0,1,0,,3,15,90,2133,1,,686,
on,7th Gen A4-9120 APU,2,0,2,2.2,2.5,0,0,1,0,,3,15,90,2133,,,655,
on,7th Gen A4-9120C APU,2,2,3,1.6,2.4,0,160,1,0,,,6,90,1866,1,,600,
on,7th Gen AMD PRO A12-9800 APU,4,0,8,3.8,4.2,0,0,2,0,,3,65,90,2400,2,,1108,
on,7th Gen AMD PRO A12-9800E APU,4,0,8,3.1,3.8,0,0,2,0,,3,35,90,2400,2,,900,
on,7th Gen AMD PRO A10-9700 APU,4,0,6,3.5,3.8,0,0,2,0,,3,65,90,2400,2,,1029,
on,7th Gen AMD PRO A10-9700E APU,4,0,6,3,3.5,0,0,2,0,,3,35,90,2400,2,,847,
on,7th Gen AMD PRO A8-9600 APU,4,0,6,3.1,3.4,0,0,2,0,,3,65,90,2400,2,,900,
on,7th Gen AMD PRO A6-9500 APU,2,0,6,3.5,3.8,0,0,1,0,,3,65,90,2400,2,,1029,
on,7th Gen AMD PRO A6-9500E APU,2,0,4,3,3.4,0,0,1,0,,3,35,90,2400,2,,800,
on,7th Gen AMD PRO A12-9830B APU,4,0,8,3,3.7,0,0,2,0,,,35,90,2400,2,,900,
on,7th Gen AMD PRO A12-9800B APU,4,0,8,2.7,3.6,0,0,2,0,,,15,90,1866,2,,758,
on,7th Gen AMD PRO A10-9730B APU,4,0,6,2.8,3.5,0,0,2,0,,,35,90,2400,2,,900,
on,7th Gen AMD PRO A10-9700B APU,4,0,6,2.5,3.4,0,0,2,0,,,15,90,1866,2,,758,
on,7th Gen AMD PRO A8-9630B,4,0,6,2.6,3.3,0,0,2,0,,,35,90,2400,2,,800,
on,7th Gen AMD PRO A8-9600B APU,4,0,6,2.4,3.3,0,0,2,0,,,15,90,1866,2,,720,
on,7th Gen AMD PRO A6-9500B APU,2,0,4,2.3,3.2,0,0,1,0,,,15,90,1866,2,,800,
on,7th Gen FX™ 9830P APU,4,0,8,3,3.7,0,0,2,0,,,35,90,2400,2,,900,
on,7th Gen FX™ 9800P APU,4,0,8,2.7,3.6,0,0,2,0,,,15,90,1866,2,,758,
on,7th Gen E2-9010 APU,2,0,2,200,2.2,0,0,1,0,, 3.0 x8,15,90,186,,,600,
on,AMD EPYC™ 9554P,64,128,0,3.1,3.75,3.75,0,0,256,7104, 5.0 x128,360,,4800,12,460.80 GB/s,,
on,AMD EPYC™ 9554,64,128,0,3.1,3.75,3.75,0,0,256,9087, 5.0 x128,360,,4800,12,460.80 GB/s,,
on,6th Gen A10-8700P APU,4,4,6,1.8,3.2,0,0,2,0,,,15,90,2133,2,,800,
on,AMD EPYC™ 9534,64,128,0,2.45,3.7,3.55,0,0,256,8803, 5.0 x128,280,,4800,12,460.80 GB/s,,
on,6th Gen A8-8600P APU,4,4,6,1.6,3,0,0,2,0,,,15,90,2133,2,,720,
on,AMD EPYC™ 9474F,48,96,0,3.6,4.1,3.95,0,0,256,6780, 5.0 x128,360,,4800,12,460.80 GB/s,,
on,6th Gen AMD PRO A12-8870 APU,4,0,8,3.7,4.2,0,0,2,0,,3,65,,2400,2,,1108,
on,AMD EPYC™ 9454P,48,96,0,2.75,3.8,3.65,0,0,256,4598, 5.0 x128,290,,4800,12,460.80 GB/s,,
on,6th Gen AMD PRO A12-8870E APU,4,0,8,2.9,3.8,0,0,2,0,,3,35,,2400,2,,900,
on,AMD EPYC™ 9454,48,96,0,2.75,3.8,3.65,0,0,256,5225, 5.0 x128,290,,4800,12,460.80 GB/s,,
on,6th Gen AMD PRO A10-8850B APU,4,4,8,3.9,4.1,0,0,4,0,,,95,72.4,2133,2,,800,
on,AMD EPYC™ 9374F,32,64,0,3.85,4.3,4.1,0,0,256,4850, 5.0 x128,320,,4800,12,460.80 GB/s,,
on,AMD EPYC™ 9354P,32,64,0,3.25,3.8,3.75,0,0,256,2730, 5.0 x128,280,,4800,12,460.80 GB/s,,
on,6th Gen AMD PRO A10-8770 APU,4,0,6,3.5,3.8,0,0,2,0,,3,65,,2400,2,,1029,
on,6th Gen AMD PRO A10-8770E APU,4,0,6,2.8,3.5,0,0,2,0,,3,35,,2400,2,,847,
on,AMD EPYC™ 9354,32,64,0,3.25,3.8,3.75,0,0,256,3420, 5.0 x128,280,,4800,12,460.80 GB/s,,
on,AMD EPYC™ 9334,32,64,0,2.7,3.9,3.85,0,0,128,2990, 5.0 x128,210,,4800,12,460.80 GB/s,,
on,6th Gen AMD PRO A10-8750B APU,4,4,8,3.6,4,0,0,4,0,,,65,71.3,2133,2,,757,
on,6th Gen AMD PRO A8-8650B APU,4,4,6,3.2,3.9,0,0,4,0,,,65,71.3,2133,2,,757,
on,AMD EPYC™ 9274F,24,48,0,4.05,4.3,4.1,0,0,256,3060, 5.0 x128,320,,4800,12,460.80 GB/s,,
on,AMD EPYC™ 9254,24,48,0,2.9,4.15,3.9,0,0,128,2299, 5.0 x128,200,,4800,12,460.80 GB/s,,
on,6th Gen AMD PRO A6-8570 APU,2,0,6,3.5,3.8,0,0,1,0,,3,65,,2400,2,,1029,
on,AMD EPYC™ 9224,24,48,0,2.5,3.7,3.65,0,0,64,1825, 5.0 x128,200,,4800,12,460.80 GB/s,,
on,6th Gen AMD PRO A6-8570E APU,2,0,4,3,3.4,0,0,1,0,,3,35,,2400,2,,800,
on,6th Gen AMD PRO A6-8550B APU,2,2,4,3.7,4,0,0,1,0,,,65,71.3,2133,2,,800,
on,AMD EPYC™ 9174F,16,32,0,4.1,4.4,4.15,0,0,256,3850, 5.0 x128,320,,4800,12,460.80 GB/s,,
on,6th Gen AMD PRO A4-8350B APU,2,2,4,3.5,3.9,0,0,1,0,,,65,71.3,1866,2,,757,
on,AMD EPYC™ 9124,16,32,0,3,3.7,3.6,0,0,64,1083, 5.0 x128,200,,4800,12,460.80 GB/s,,
on,6th Gen AMD PRO A12-8830B APU,4,0,6,2.5,3.4,0,0,2,0,,,,,1866,,,758,
on,6th Gen AMD PRO A12-8800B APU,4,4,8,2.1,3.4,0,0,2,0,,,15,,2133,2,,800,
on,6th Gen AMD PRO A10-8730B APU,4,0,6,2.4,3.3,0,0,2,0,,,,,1866,,,720,
on,6th Gen AMD PRO A10-8700B APU,4,4,6,1.8,3.2,0,0,2,0,,,15,,2133,2,,800,
on,6th Gen AMD PRO A8-8600B APU,4,4,6,1.6,3,0,0,2,0,,,15,,2133,2,,720,
on,6th Gen AMD PRO A6-8530B APU,2,0,4,2.3,3.2,0,0,1,0,,,,,1866,,,800,
on,6th Gen AMD PRO A6-8500B APU,2,4,4,1.6,3,0,0,1,0,,,15,,1600,2,,800,
on,6th Gen FX-8800P APU,4,4,8,2.1,3.4,0,0,2,0,,,15,90,2133,2,,800,
on,A10-7890K with Radeon™ R7 Graphics and Wraith cooler,4,0,8,4.1,4.3,0,256,4,0,,,95,72.4,2133,2,,866,
on,A10-7870K with Radeon™ R7 Series,4,4,8,3.9,4.1,0,256,4,0,,,95,72.4,2133,2,,866,
on,A10-7870K with Radeon™ R7 Graphics and Near Silent Thermal Solution,4,0,8,3.9,4.1,0,256,4,0,,,95,72.4,2133,2,,866,
on,A10-7860K with Radeon™ R7 Series,4,4,8,3.6,4,0,256,4,0,,,65,71.3,2133,2,,757,
on,A10-7860K with Radeon™ R7 Graphics and Near Silent Thermal Solution,4,4,8,3.6,4,0,256,4,0,,,65,71.3,2133,2,,757,
on,A10-7850K with Radeon™ R7 Series,4,4,8,3.7,4,0,256,4,0,,,95,72.4,2133,2,,720,
on,A10-7800 with Radeon™ R7 Series,4,4,8,3.5,3.9,0,256,4,0,,,,71.3,2133,2,,720,
on,A10-7700K with Radeon™ R7 Series,4,4,6,3.4,3.8,0,256,4,0,,,,72.4,2133,2,,720,
on,A10-6800K with Radeon™ HD 8670D,4,4,0,4.1,4.4,0,192,4,0,,,100,74,2133,2,,844,
on,A10-6790K with Radeon™ HD 8670D,4,4,0,4,4.3,0,192,4,0,,,100,74,1866,2,,844,
on,A10-6700 with Radeon™ HD 8670D,4,4,0,3.7,4.3,0,192,4,0,,,65,71.3,1866,2,,844,
on,AMD EPYC™ 7773X,64,128,0,2.2,3.5,0,0,0,768,8800, 4.0 x128,280,,3200,8,204.80 GB/s,,
on,A10-6700T with Radeon™ HD 8650D,4,4,0,2.5,3.5,0,192,4,0,,,45,71.3,1866,2,,720,
on,AMD EPYC™ 7763,64,128,0,2.45,3.5,0,0,0,256,7890, 4.0 x128,280,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7713P,64,128,0,2,3.675,0,0,0,256,5010, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7713,64,128,0,2,3.675,0,0,0,256,7060, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7663,56,112,0,2,3.5,0,0,0,256,6366, 4.0 x128,240,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7643,48,96,0,2.3,3.6,0,0,0,256,4995, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7573X,32,64,0,2.8,3.6,0,0,0,768,5590, 4.0 x128,280,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 75F3,32,64,0,2.95,4,0,0,0,256,4860, 4.0 x128,280,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7543P,32,64,0,2.8,3.7,0,0,0,256,2730, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7543,32,64,0,2.8,3.7,0,0,0,256,3761, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7513,32,64,0,2.6,3.65,0,0,0,128,2840, 4.0 x128,200,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7473X,24,48,0,2.8,3.7,0,0,0,768,3900, 4.0 x128,240,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7453,28,56,0,2.75,3.45,0,0,0,64,1570, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 74F3,24,48,0,3.2,4,0,0,0,256,2900, 4.0 x128,240,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7443P,24,48,0,2.85,4,0,0,0,128,1337, 4.0 x128,200,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7443,24,48,0,2.85,4,0,0,0,128,2010, 4.0 x128,200,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7413,24,48,0,2.65,3.6,0,0,0,128,1825, 4.0 x128,180,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 73F3,16,32,0,3.5,4,0,0,0,256,3521, 4.0 x128,240,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7373X,16,32,0,3.05,3.8,0,0,0,768,4185, 4.0 x128,240,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7343,16,32,0,3.2,3.9,0,0,0,128,1565, 4.0 x128,190,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7313P,16,32,0,3,3.7,0,0,0,128,913, 4.0 x128,155,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7313,16,32,0,3,3.7,0,0,0,128,1083, 4.0 x128,155,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 72F3,8,16,0,3.7,4.1,0,0,0,256,2468, 4.0 x128,180,,3200,8,204.80 GB/s,,
on,A8-7670K with Radeon™ R7 Graphics and Near Silent Thermal Solution,4,4,6,3.6,3.9,0,256,4,0,,,95,72.4,2133,2,,757,
on,AMD EPYC™ 7F72,24,48,0,3.2,3.7,0,0,0,192,2450, 4.0 x128,240,,3200,8,204.80 GB/s,,
on,A8-7650K with Radeon™ R7 Series,4,4,6,3.3,3.8,0,256,4,0,,,95,72.4,2133,2,,720,
on,AMD EPYC™ 7F52,16,32,0,3.5,3.9,0,0,0,256,3100, 4.0 x128,240,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7F32,8,16,0,3.7,3.9,0,0,0,128,2100, 4.0 x128,180,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7H12,64,128,0,2.6,3.3,0,0,0,256,7250, 4.0 x128,280,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7742,64,128,0,2.25,3.4,0,0,0,256,6950, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,A8-7650K with Radeon™ R7 Graphics and Near Silent Thermal Solution,4,4,6,3.3,3.8,0,256,4,0,,,95,72.4,2133,2,,720,
on,A8-7600 with Radeon™ R7 Series,4,4,6,3.1,3.8,0,256,4,0,,,65,71.3,2133,2,,720,
on,AMD EPYC™ 7702,64,128,0,2,3.35,0,0,0,256,6450, 4.0 x128,200,,3200,8,204.80 GB/s,,
on,A8-6600K with Radeon™ HD 8570D,4,4,0,3.9,4.2,0,192,4,0,,,65,74,1866,2,,844,
on,AMD EPYC™ 7702P,64,128,0,2,3.35,0,0,0,256,4425, 4.0 x128,200,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7662,64,128,0,2,3.3,0,0,0,256,6150, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,A8-6500 with Radeon™ HD 8570D,4,4,0,3.5,4.1,0,192,4,0,,,65,71.3,1866,2,,800,
on,AMD EPYC™ 7642,48,96,0,2.3,3.3,0,0,0,256,4775, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,A8-6500T with Radeon™ HD 8550D,4,4,0,2.1,3.1,0,192,4,0,,,45,71.3,1866,2,,720,
on,AMD EPYC™ 7552,48,96,0,2.2,3.3,0,0,0,192,4025, 4.0 x128,200,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7542,32,64,0,2.9,3.4,0,0,0,128,3400, 4.0 x128,225,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7532,32,64,0,2.4,3.3,0,0,0,256,2380, 4.0 x128,200,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7502,32,64,0,2.5,3.35,0,0,0,128,2600, 4.0 x128,180,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7502P,32,64,0,2.5,3.35,0,0,0,128,2300, 4.0 x128,180,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7452,32,64,0,2.35,3.35,0,0,0,128,2025, 4.0 x128,155,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7402,24,48,0,2.8,3.35,0,0,0,128,1783, 4.0 x128,180,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7402P,24,48,0,2.8,3.35,0,0,0,128,1250, 4.0 x128,180,,3200,8,204.80 GB/s,,
on,A6-7470K with Radeon™ R5 Series,2,0,4,3.7,4,0,256,1,0,,,65,71.3,2133,2,,800,
on,AMD EPYC™ 7352,24,48,0,2.3,3.2,0,0,0,128,1080, 4.0 x128,155,,3200,8,204.80 GB/s,,
on,A6-7400K with Radeon™ R5 Series,2,2,4,3.5,3.9,0,128,1,0,,,65,70,1866,2,,758,
on,AMD EPYC™ 7302,16,32,0,3,3.3,0,0,0,128,978, 4.0 x128,155,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7302P,16,32,0,3,3.3,0,0,0,128,825, 4.0 x128,155,,3200,8,204.80 GB/s,,
on,A6-6420K with Radeon™ HD 8470D,2,2,0,4,4.2,0,96,1,0,,,65,70,1866,2,,800,
on,AMD EPYC™ 7282,16,32,0,2.8,3.2,0,0,0,64,604, 4.0 x128,120,,3200,8,85.30 GB/s,,
on,A6-6310 with Radeon™ R4 Graphics,4,4,0,1.8,2.4,0,128,2,0,,,17.5,90,1866,1,,800,
on,AMD EPYC™ 7272,12,24,0,2.9,3.2,0,0,0,64,549, 4.0 x128,120,,3200,8,85.30 GB/s,,
on,A6-6400K with Radeon™ HD 8470D,2,2,0,3.9,4.1,0,96,1,0,,,65,70,1866,2,,800,
on,AMD EPYC™ 7262,8,16,0,3.2,3.4,0,0,0,128,505,x128,155,,3200,8,204.80 GB/s,,
on,A6-5200 with Radeon™ HD 8400,4,4,0,2,0,0,256,2,0,,,25,90,1600,1,,600,
on,AMD EPYC™ 7252,8,16,0,3.1,3.2,0,0,0,64,348, 4.0 x128,120,,3200,8,85.30 GB/s,,
on,AMD EPYC™ 7232P,8,16,0,3.1,3.2,0,0,0,32,338, 4.0 x128,120,,3200,8,85.30 GB/s,,
on,AMD EPYC™ 7601,32,64,0,2.2,3.2,0,0,0,64,3270, 3.0 x128,180,,2666,8,170.60 GB/s,,
on,AMD EPYC™ 7551P,32,64,0,2,3,0,0,0,64,1830, 3.0 x128,180,,2666,8,170.60 GB/s,,
on,AMD EPYC™ 7551,32,64,0,2,3,0,0,0,64,2660, 3.0 x128,180,,2666,8,170.60 GB/s,,
on,AMD EPYC™ 7501,32,64,0,2,3,0,0,0,64,2870, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,AMD EPYC™ 7451,24,48,0,2.3,3.2,0,0,0,64,1880, 3.0 x128,180,,2666,8,170.60 GB/s,,
on,A4-7300 with Radeon™ HD 8470D,2,2,0,3.8,4,0,96,1,0,,,65,70,1600,2,,800,
on,AMD EPYC™ 7401P,24,48,0,2,3,0,0,0,64,920, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,A4-6320 with Radeon™ HD 8370D,2,2,0,3.8,4,0,96,1,0,,,65,70,1600,2,,760,
on,AMD EPYC™ 7401,24,48,0,2,3,0,0,0,64,1620, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,A4-6300 with Radeon™ HD 8370D,2,2,0,3.7,3.9,0,96,1,0,,,65,70,1600,2,,760,
on,AMD EPYC™ 7371,16,32,0,3.1,3.8,0,0,0,64,1550, 3.0 x128,200,,2666,8,170.60 GB/s,,
on,AMD EPYC™ 7351P,16,32,0,2.4,2.9,0,0,0,64,660, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,AMD EPYC™ 7351,16,32,0,2.4,2.9,0,0,0,64,890, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,AMD EPYC™ 7301,16,32,0,2.2,2.7,0,0,0,64,740, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,A4-5100 with Radeon™ HD 8330,4,4,0,1.55,0,0,256,2,0,,,15,90,1600,1,,500,
on,AMD EPYC™ 7281,16,32,0,2.1,2.7,0,0,0,32,580, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
