,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 7 7730U,8,16,8,2,4.5,0,384,4,16,,3,15,95,,2,,2000,
on,AMD Ryzen™ 5 7530U,6,12,7,2,4.5,0,384,3,16,,3,15,95,,2,,2000,
on,AMD Ryzen™ 3 7330U,4,8,6,2.3,4.3,0,384,2,8,,3,15,95,,2,,1800,
on,AMD Ryzen™ 5 7520U,4,8,2,2.8,4.3,0,256,2,4,,3,15,,,2,,1900,
on,AMD Ryzen™ 3 7320U,4,8,2,2.4,4.1,0,256,2,4,,3,15,,,2,,1900,
on,AMD Ryzen™ Threadripper™ PRO 5995WX,64,128,0,2.7,4.5,0,4096,32,256,,4,280,95,3200,8,,,
on,AMD Ryzen™ Threadripper™ PRO 5975WX,32,64,0,3.6,4.5,0,2048,16,128,,4,280,95,3200,8,,,
on,AMD Ryzen™ Threadripper™ PRO 5965WX,24,48,0,3.8,4.5,0,1536,12,128,,4,280,95,3200,8,,,
on,AMD Ryzen™ Threadripper™ PRO 5955WX,16,32,0,4,4.5,0,1024,8,64,,4,280,95,3200,8,,,
on,AMD Ryzen™ Threadripper™ PRO 5945WX,12,24,0,4.1,4.5,0,765,6,64,,4,280,95,3200,8,,,
on,AMD Ryzen™ 9 7950X3D,16,32,2,4.2,5.7,0,1024,16,128,,,120,89,,2,,2200,400
on,AMD Ryzen™ 9 7950X,16,32,2,4.5,5.7,0,1024,16,64,,,170,95,,2,,2200,400
on,AMD Ryzen™ 9 7900X3D,12,24,2,4.4,5.6,0,768,12,128,,5,120,89,,2,,2200,400
on,AMD Ryzen™ 9 7900X,12,24,2,4.7,5.6,0,768,12,64,,,170,95,,2,,2200,400
on,AMD Ryzen™ 7 7800X3D,8,16,2,0,5,0,512,8,96,,5,120,89,,,,2200,400
on,AMD Ryzen™ 9 7900,12,24,2,3.7,5.4,0,768,12,64,,,65,95,,2,,2200,400
on,AMD Ryzen™ 7 7700X,8,16,2,4.5,5.4,0,512,8,32,,,105,95,,2,,2200,400
on,AMD Ryzen™ 9 5950X,16,32,0,3.4,4.9,0,0,8,64,,4,105,90,3200,,,,
on,AMD Ryzen™ 7 5800X3D,8,16,0,3.4,4.5,0,512,4,96,,4,105,90,,2,,,
on,AMD Ryzen™ 9 5900X,12,24,0,3.7,4.8,0,0,6,64,,4,105,90,3200,,,,
on,AMD Ryzen™ 7 7700,8,16,2,3.8,5.3,0,512,8,32,,,65,95,,2,,2200,400
on,AMD Ryzen™ 9 5900 (OEM Only),12,24,0,3,4.7,0,0,6,64,,4,65,95,3200,,,,
on,AMD Ryzen™ 5 7600X,6,12,2,4.7,5.3,0,384,6,32,,,105,95,,2,,2200,400
on,AMD Ryzen™ 7 5800X,8,16,0,3.8,4.7,0,0,4,32,,4,105,90,3200,,,,
on,AMD Ryzen™ 7 5800 (OEM Only),8,16,0,3.4,4.6,0,0,4,32,,4,65,95,3200,,,,
