-1,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 9 5980HS,8,16,8,3,4.8,-1,-1,4,16,-1,3,35,105,-1,-1,-1,2100,-1
on,AMD Ryzen™ 9 5900HX,8,16,8,3.3,4.6,-1,-1,4,16,-1,3,45,105,-1,-1,-1,2100,-1
on,AMD Ryzen™ Threadripper™ 3970X,32,64,-1,3.7,4.5,-1,2048,16,128,-1,4,280,95,3200,4,-1,-1,-1
on,AMD Ryzen™ 5 6600U,6,12,6,2.9,4.5,-1,384,3,16,-1,4,-1,95,-1,2,-1,1900,-1
on,AMD Ryzen™ 7 5825U,8,16,8,2,4.5,-1,512,4,16,-1,3,15,95,-1,2,-1,2000,-1
on,AMD Ryzen™ 9 5900HS,8,16,-1,3,4.6,-1,8,4,16,-1,3,35,105,-1,-1,-1,2100,-1
on,AMD Ryzen™ 7 5825C,8,16,8,2,4.5,-1,512,4,16,-1,3,15,95,-1,2,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 3960X,24,48,-1,3.8,4.5,-1,1536,12,128,-1,4,280,95,3200,4,-1,-1,-1
on,AMD Ryzen™ 7 5800H,8,16,8,3.2,4.4,-1,-1,4,16,-1,3,45,105,-1,-1,-1,2000,-1
on,AMD Ryzen™ 5 5625U,6,12,7,2.3,4.3,-1,384,3,16,-1,3,15,95,-1,2,-1,1800,-1
on,AMD Ryzen™ 7 5800HS,8,16,8,2.8,4.4,-1,-1,4,16,-1,3,35,105,-1,-1,-1,2000,-1
on,AMD Ryzen™ 5 5625C,6,12,7,2.3,4.3,-1,384,3,16,-1,3,15,95,-1,2,-1,-1,-1
on,AMD Ryzen™ 9 3950X,16,32,-1,3.5,4.7,-1,1024,8,64,-1,4,105,95,-1,2,-1,-1,-1
on,AMD Ryzen™ 5 5600H,6,12,7,3.3,4.2,-1,-1,3,16,-1,3,45,105,-1,-1,-1,1800,-1
on,AMD Ryzen™ 5 5600HS,6,12,7,3,4.2,-1,-1,3,16,-1,3,35,105,-1,-1,-1,1800,-1
on,AMD Ryzen™ 9 3900X,12,24,-1,3.8,4.6,-1,768,6,64,-1,4,105,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 7 5800U,8,16,8,1.9,4.4,-1,-1,4,16,-1,3,15,105,-1,-1,-1,2000,-1
on,AMD Ryzen™ 7 5700U,8,16,8,1.8,4.3,-1,-1,4,8,-1,3,15,105,-1,-1,-1,1900,-1
on,AMD Ryzen™ 9 3900 Processor (OEM Only),12,24,-1,3.1,4.3,-1,768,6,64,-1,4,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 5 5600U,6,12,7,2.3,4.2,-1,-1,3,16,-1,3,15,105,-1,-1,-1,1800,-1
on,AMD Ryzen™ 3 5425U,4,8,6,2.7,4.1,-1,256,2,8,-1,3,15,95,-1,2,-1,1600,-1
on,AMD Ryzen™ 5 5560U,6,12,6,2.3,4,-1,384,3,8,-1,3,15,105,-1,2,-1,1600,-1
on,AMD Ryzen™ 5 5500U,6,12,7,2.1,4,-1,-1,3,8,-1,3,15,105,-1,-1,-1,1800,-1
on,AMD Ryzen™ 3 5425C,4,8,6,2.7,4.1,-1,256,2,8,-1,3,15,95,-1,2,-1,-1,-1
on,AMD Ryzen™ 3 5400U,4,8,6,2.6,4,-1,-1,2,8,-1,3,15,105,-1,-1,-1,1600,-1
on,AMD Ryzen™ 7 3800X,8,16,-1,3.9,4.5,-1,512,4,32,-1,4,105,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 3 5300U,4,8,6,2.6,3.8,-1,-1,2,4,-1,3,15,105,-1,-1,-1,1500,-1
on,AMD Ryzen™ 7 3700X,8,16,-1,3.6,4.4,-1,512,4,32,-1,4,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 7 5700G,8,16,8,3.8,4.6,-1,-1,4,16,-1,3,65,95,3200,2,-1,2000,-1
on,AMD Ryzen™ 7 5700GE,8,16,8,3.2,4.6,-1,-1,4,16,-1,3,35,95,3200,2,-1,2000,-1
on,AMD Ryzen™ 3 4100,4,8,-1,3.8,4,-1,256,2,4,-1,3,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 3 5125C,2,4,3,3,3,-1,128,1,8,-1,3,15,95,-1,2,-1,-1,-1
