0,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 5 3600,6,12,0,3.6,4.2,0,384,3,32,0,4,65,95,3200,2,0,0,0
on,AMD Ryzen™ 3 5300G (OEM Only),4,8,6,4,4.2,0,0,2,8,0,3,65,95,3200,2,0,1700,0
on,AMD Ryzen™ 3 5300GE (OEM Only),4,8,6,3.6,4.2,0,0,2,8,0,3,35,95,3200,2,0,1700,0
on,AMD Ryzen™ 7 4700G (OEM Only),8,16,8,3.6,4.4,0,512,4,8,0,3,65,95,3200,2,0,2100,0
on,AMD Ryzen™ 3 3300X,4,8,0,3.8,4.3,0,256,2,16,0,4,65,0,3200,0,0,0,0
on,AMD Ryzen™ 3 3100,4,8,0,3.6,3.9,0,256,2,16,0,4,65,0,3200,0,0,0,0
on,AMD Ryzen™ 5 4600G,6,12,7,3.7,4.2,0,384,3,8,0,3,65,95,3200,2,0,1900,0
on,AMD Ryzen™ 3 4300G (OEM Only),4,8,6,3.8,4,0,256,2,4,0,3,65,95,3200,2,0,1700,0
on,AMD Ryzen™ 5 3500 Processor (OEM Only),6,6,0,3.6,4.1,0,384,3,16,0,4,65,95,3200,2,0,0,0
on,AMD Ryzen™ 7 4700GE (OEM Only),8,16,8,3.1,4.3,0,512,4,8,0,3,35,95,3200,2,0,2000,0
on,AMD Ryzen™ 5 4600GE (OEM Only),6,12,7,3.3,4.2,0,384,3,8,0,3,35,95,3200,2,0,1900,0
on,AMD Ryzen™ 3 4300GE (OEM Only),4,8,6,3.5,4,0,256,2,4,0,3,35,95,3200,2,0,1700,0
on,AMD Ryzen™ 9 4900H,8,16,8,3.3,4.4,0,0,4,8,0,3,44.5,105,0,0,0,1750,0
on,AMD Ryzen™ 9 4900HS,8,16,8,3,4.3,0,0,4,8,0,3,35,105,0,0,0,1750,0
on,AMD Ryzen™ 7 4800HS,8,16,7,2.9,4.2,0,0,4,8,0,3,45,105,0,0,0,1600,0
on,AMD Ryzen™ 7 4800H,8,16,7,2.9,4.2,0,0,4,8,0,3,45,105,0,0,0,1600,0
on,AMD Ryzen™ 5 4600H,6,12,6,3,4,0,0,3,8,0,3,45,105,0,0,0,1500,0
on,AMD Ryzen™ 7 4800U,8,16,8,1.8,4.2,0,0,4,8,0,3,15,105,0,0,0,1750,0
on,AMD Ryzen™ 7 4700U,8,8,7,2,4.1,0,0,4,8,0,3,15,105,0,0,0,1600,0
on,AMD Ryzen™ 5 4600U,6,12,6,2.1,4,0,0,3,8,0,3,15,105,0,0,0,1500,0
on,AMD Ryzen™ 5 4500U,6,6,6,2.3,4,0,0,3,8,0,3,15,105,0,0,0,1500,0
on,AMD Ryzen™ 3 4300U,4,4,5,2.7,3.7,0,0,2,4,0,3,15,105,0,0,0,1400,0
on,AMD Ryzen™ 3 3250U,2,4,3,2.6,3.5,0,192,1,4,0,3,15,95,2400,2,0,1200,0
on,AMD Ryzen™ 5 3400G with Radeon™ RX Vega 11 Graphics,4,8,11,3.7,4.2,0,384,2,4,0,3,65,95,0,2,0,1400,0
on,AMD Ryzen™ 7 4980U Microsoft Surface® Edition,8,16,8,2,4.4,0,512,4,8,0,3,15,105,4267,2,0,1950,0
on,AMD Ryzen™ 5 3400GE (OEM Only),4,8,11,3.3,4,0,384,2,4,0,3,35,95,2933,2,0,1300,0
on,AMD Ryzen™ 5 4680U Microsoft Surface® Edition,6,12,7,2.2,4,0,384,3,8,0,3,15,105,4267,2,0,1500,0
on,AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics,4,4,8,3.6,4,0,384,2,4,0, 3.0 x8,65,95,2933,2,0,1250,0
on,AMD Ryzen™ 7 3780U Microsoft Surface® Edition,4,8,11,2.3,4,0,384,2,4,0,3,15,105,2400,2,0,1400,0
on,AMD Ryzen™ 3 3200GE (OEM Only),4,4,8,3.3,3.8,0,384,2,4,0,3,35,95,2933,2,0,1200,0
on,AMD Athlon™ Gold 7220U,2,4,2,2.4,3.7,0,256,1,4,0,3,15,0,0,2,0,1900,0
on,AMD Athlon™ 320GE,2,4,3,3.5,0,0,192,1,4,0,3,35,95,2667,2,0,1100,0
on,AMD Athlon™ 300GE,2,4,3,3.4,0,0,192,1,4,0,3,35,95,2667,2,0,1100,0
on,AMD Ryzen™ 7 3750H,4,8,10,2.3,4,0,384,2,4,0,3,35,105,2400,2,0,1400,0
on,AMD Ryzen™ 5 3550H,4,8,8,2.1,3.7,0,384,2,4,0,3,35,105,2400,2,0,1200,0
on,AMD Athlon™ Silver 7120U,2,2,2,2.4,3.5,0,256,1,2,0,3,15,0,0,2,0,1900,0
on,AMD Ryzen™ 7 3700U,4,8,10,2.3,4,0,384,2,4,0,3,15,105,2400,2,0,1400,0
on,AMD Ryzen™ 3 3350U,4,4,6,2.1,3.5,0,348,2,4,0,3,15,105,2400,2,0,1200,0
on,AMD Ryzen™ 5 3500U,4,8,8,2.1,3.7,0,384,2,4,0,3,15,105,2400,2,0,1200,0
on,AMD Ryzen™ 7 3700C,4,8,10,2.3,4,0,384,2,4,0,0,15,105,0,0,0,1400,0
on,AMD Ryzen™ 5 3450U,4,8,0,2.1,3.5,0,384,2,4,0,3,15,105,2400,2,0,1200,0
on,AMD Ryzen™ 3 3300U,4,4,6,2.1,3.5,0,384,2,4,0,3,15,105,2400,2,0,1200,0
on,AMD Ryzen™ 5 3580U Microsoft Surface® Edition,4,8,9,2.1,3.7,0,384,2,4,0,3,15,105,2400,2,0,1300,0
on,AMD Ryzen™ 5 3500C,4,8,8,2.1,3.7,0,384,2,4,0,0,15,105,0,0,0,1200,0
on,AMD Ryzen™ 3 3200U,2,4,3,2.6,3.5,0,192,1,4,0,3,15,105,2400,2,0,1200,0
on,AMD Athlon™ 300U,2,4,3,2.4,3.3,0,193,1,4,0,0,15,105,2400,2,0,1000,0
on,AMD Athlon™ Gold 3150U,2,4,3,2.4,3.3,0,192,1,4,0,0,15,95,2400,2,0,1000,0
on,AMD Ryzen™ 3 3250C,2,4,3,2.6,3.5,0,192,1,4,0,0,15,105,0,0,0,1200,0
on,AMD Athlon™ Silver 3050U,2,2,2,2.3,3.2,0,192,1,4,0,3,15,95,2400,2,0,1100,0
on,AMD Athlon™ Silver 3050e,2,4,3,1.4,2.8,0,0,1,4,0,3,6,0,2400,2,0,1000,0
on,AMD Athlon™ Gold 3150C,2,4,3,2.4,3.3,0,192,1,4,0,0,15,95,0,0,0,1100,0
on,AMD Athlon™  Silver 3050C,2,2,2,2.3,3.2,0,192,1,4,0,0,15,95,0,0,0,1100,0
on,AMD Athlon™ Gold 3150GE (OEM Only),4,4,3,3.3,3.8,0,384,2,4,0,3,35,95,2933,2,0,1100,0
on,AMD 3020e,2,2,3,1.2,2.6,0,0,1,4,0,3,6,0,2400,2,0,1000,0
